"","StationNumber","StationType","MeasurementStartDate","MeasurementEndDate","Number ofSamples","StationStatus"
"","1000000439","Groundwater","19-Feb-2002","19-Feb-2002","1","Not Active"
"","1000000443","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000445","Groundwater","19-Feb-2002","19-Feb-2002","1","Not Active"
"","1000000447","Groundwater","19-Feb-2002","19-Feb-2002","1","Not Active"
"","1000000449","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000451","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000453","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000455","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000457","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000459","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000461","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000463","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000465","Groundwater","20-Feb-2002","20-Feb-2002","1","Not Active"
"","1000000808","River","27-Sept-2002","28-Jul-2015","8","Active"
"","1000000811","River","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000813","River","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000815","River","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000817","Dam / Lake","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000819","Dam / Lake","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000821","River","27-Sept-2002","21-Jun-2010","14","Active"
"","1000000823","River","27-Sept-2002","25-Mar-2010","11","Active"
"","1000000825","River","27-Sept-2002","27-Sept-2002","1","Active"
"","1000000827","River","27-Sept-2002","27-Sept-2002","1","Active"
"","1000000829","River","27-Sept-2002","27-Sept-2002","1","Active"
"","1000000831","River","27-Sept-2002","27-Sept-2002","1","Active"
"","1000000833","River","27-Sept-2002","27-Sept-2002","1","Active"
"","1000000843","River","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000845","Spring","27-Sept-2002","29-Sept-2002","3","Active"
"","1000000851","Dam / Lake","27-Sept-2002","27-Sept-2002","2","Active"
"","1000000853","Dam / Lake","27-Sept-2002","25-Mar-2010","3","Active"
"","1000000855","River","27-Sept-2002","05-Dec-2024","12","Active"
"","1000000896","Spring","28-Sept-2002","28-Sept-2002","1","Active"
"","1000000898","Spring","28-Sept-2002","28-Sept-2002","1","Active"
"","1000000901","River","26-Sept-2002","26-Sept-2002","1","Active"
"","1000000903","River","26-Sept-2002","26-Sept-2002","1","Active"
"","1000000905","River","28-Sept-2002","28-Sept-2002","1","Active"
"","1000000907","River","28-Sept-2002","28-Sept-2002","1","Active"
"","1000000910","River","26-Sept-2002","26-Sept-2002","1","Active"
"","1000006568","Groundwater","04-Nov-2003","05-Nov-2003","4","Not Active"
"","1000006570","Groundwater","05-Nov-2003","05-Nov-2003","2","Not Active"
"","1000006572","Groundwater","08-Nov-2003","08-Nov-2003","2","Not Active"
"","1000006574","Groundwater","10-Nov-2003","11-Nov-2003","4","Not Active"
"","1000006576","Groundwater","07-Nov-2003","07-Nov-2003","2","Not Active"
"","1000006864","Groundwater","18-Nov-2003","07-Jul-2004","5","Not Active"
"","1000006868","Groundwater","18-Nov-2003","01-Jul-2004","5","Not Active"
"","1000006870","Groundwater","25-Nov-2003","06-Jul-2004","6","Not Active"
"","1000006878","Groundwater","19-Nov-2003","01-Jul-2004","5","Not Active"
"","1000006888","Groundwater","27-Nov-2003","06-Jul-2004","6","Not Active"
"","1000006890","Groundwater","26-Nov-2003","29-Jun-2004","3","Not Active"
"","1000006892","Groundwater","19-Nov-2003","01-Jul-2004","4","Not Active"
"","1000006894","Groundwater","18-Nov-2003","07-Jul-2004","5","Not Active"
"","1000006896","Groundwater","19-Nov-2003","19-Nov-2003","2","Not Active"
"","1000006898","Groundwater","19-Nov-2003","01-Jul-2004","3","Not Active"
"","1000006900","Groundwater","25-Nov-2003","06-Jul-2004","5","Not Active"
"","1000006910","Groundwater","19-Nov-2003","07-Jul-2004","5","Not Active"
"","1000006916","Groundwater","28-Nov-2003","28-Nov-2003","4","Not Active"
"","1000006918","Groundwater","18-Nov-2003","18-Nov-2003","3","Not Active"
"","1000006920","Groundwater","01-Dec-2003","01-Dec-2003","4","Not Active"
"","1000006922","Groundwater","17-Nov-2003","01-Jul-2004","5","Not Active"
"","1000006926","Groundwater","17-Nov-2003","06-Jul-2004","6","Not Active"
"","1000006932","Groundwater","19-Nov-2003","12-Jul-2004","5","Not Active"
"","1000006934","Groundwater","28-Nov-2003","06-Jul-2004","6","Not Active"
"","1000006936","Groundwater","18-Nov-2003","08-Jul-2004","5","Not Active"
"","1000006938","Groundwater","18-Nov-2003","18-Nov-2003","2","Not Active"
"","1000006940","Groundwater","25-Nov-2003","25-Nov-2003","3","Not Active"
"","1000006942","Groundwater","26-Nov-2003","29-Jun-2004","5","Not Active"
"","1000006944","Groundwater","17-Nov-2003","29-Jun-2004","5","Not Active"
"","1000006946","Groundwater","17-Nov-2003","06-Jul-2004","6","Not Active"
"","1000006948","Groundwater","24-Nov-2003","24-Nov-2003","2","Not Active"
"","1000006958","Groundwater","18-Nov-2003","29-Jun-2004","5","Not Active"
"","1000006960","Groundwater","18-Nov-2003","29-Jun-2004","5","Not Active"
"","1000006962","Groundwater","25-Nov-2003","25-Nov-2003","3","Not Active"
"","1000006964","Groundwater","28-Nov-2003","28-Nov-2003","4","Not Active"
"","1000006966","Groundwater","03-Dec-2003","03-Dec-2003","3","Not Active"
"","1000006968","Groundwater","03-Dec-2003","06-Jul-2004","6","Not Active"
"","1000006970","Groundwater","24-Nov-2003","24-Nov-2003","3","Not Active"
"","1000006972","Groundwater","24-Nov-2003","24-Nov-2003","3","Not Active"
"","1000006974","Groundwater","19-Nov-2003","19-Nov-2003","3","Not Active"
"","1000006976","Groundwater","19-Nov-2003","19-Nov-2003","3","Not Active"
"","1000006978","Groundwater","19-Nov-2003","07-Jul-2004","5","Not Active"
"","1000007362","Groundwater","27-Nov-2003","12-Jul-2004","6","Not Active"
"","1000007370","Groundwater","03-Dec-2003","06-Jul-2004","5","Not Active"
"","1000007390","Spring","01-Dec-2003","01-Dec-2003","3","Not Active"
"","1000007759","Groundwater","26-Nov-2003","05-Jul-2004","6","Not Active"
"","1000008705","Waste","08-Feb-2003","05-Aug-2019","155","Not Active"
"","1000008706","Waste","07-Jan-2003","25-Jan-2005","96","Not Active"
"","1000008707","Waste","08-Apr-2003","25-Jan-2005","84","Not Active"
"","1000008710","Waste","04-Jan-2000","26-Apr-2021","431","Not Active"
"","1000008713","Transfer","04-Jan-2000","29-Jun-2010","329","Not Active"
"","1000008719","Waste","13-Jul-2009","28-Jun-2010","42","Not Active"
"","1000008818","Transfer","07-Feb-2000","08-Oct-2013","170","Not Active"
"","1000008822","Waste","10-Jan-2000","22-Jul-2008","199","Not Active"
"","1000008828","Waste","10-Jan-2000","14-Apr-2021","254","Not Active"
"","1000008883","Transfer","07-Feb-2000","04-Dec-2013","52","Not Active"
"","1000008910","Waste","10-Jan-2000","14-Apr-2021","250","Not Active"
"","1000009130","Waste","24-Jan-2000","08-Apr-2021","482","Not Active"
"","1000009137","Waste","01-Jun-1991","15-Nov-2013","501","Not Active"
"","1000009157","Waste","22-Jan-1990","13-Apr-2021","492","Not Active"
"","1000009158","Waste","25-Oct-1990","13-Apr-2021","588","Not Active"
"","1000009160","Waste","12-Jun-1995","27-Feb-2008","294","Not Active"
